"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"100-1-15193","Band","Bartok Suite","Bartok","Clark","Belwin, Inc","1",""
"100-1-15194","Band","Allegretto (from Symphony No. 7)","Beethoven","Court","Curnow Music","1",""
"100-1-15198","Band","Theme and Variations","Broege","","Manhattan Beach Music","1",""
"100-1-15200","Band","La Volta","Byrd","Fenske","Daehn Publications","1",""
"100-1-15202","Band","Danse Pavane","Cacavas","","Bourne, Co.","1",""
"100-1-15203","Band","Canadian Sketches","Curnow","","Curnow Music","1",""
"100-1-15204","Band","Irish Legends","Curnow","","Hal Leonard Music, Inc.","1",""
"100-1-15208","Band","Nottingham Castle","Daehn","","Daehn Publications","1",""
"100-1-15209","Band","English Folk Suite","Del Borgo","","Hal Leonard Music, Inc.","1",""
"100-1-15211","Band","A Flemish Carol","Anon. or Trad.","Del Borgo","Kendor Music, Inc.","1",""
"100-1-15212","Band","Renaissance Couplet","Jaquet","Del Borgo","Kendor Music, Inc.","1",""
"100-1-15213","Band","Orlando Suite","DiLasso","DeHaan","De Haske Publications","1","(play mvt 2 plus one other mvt)"
"100-1-15214","Band","Early English Suite","Duncombe","Finlayson","Boosey & Hawkes, Inc.","1","(play mvts 1 & 4, plus one other mvt)"
"100-1-15215","Band","Amazing Grace","Edmondson","","Queenwood Publications","1",""
"100-1-15221","Band","Cantabile","Finlayson","","Boosey & Hawkes, Inc.","1",""
"100-1-15222","Band","Prelude and March","Frackenpohl","","Shawnee Press","1",""
"100-1-15223","Band","Russian Sailor's Dance","Gliere","Williams","Alfred Music Company, Inc.","1",""
"100-1-15224","Band","Courtly Festival","Purcell","Gordon","Belwin, Inc","1",""
"100-1-15225","Band","American Folk Tune Adventure","Gorham","","Wingert/Jones","1",""
"100-1-15227","Band","Little English Suite","Grundman","","Boosey & Hawkes, Inc.","1","(play two contrasting mvts)"
"100-1-15228","Band","A Suite of Baroque Dances","Handel","Kinyon","Alfred Music Company, Inc.","1",""
"100-1-15229","Band","Fughetta","Handel","Conley","Boosey & Hawkes, Inc.","1",""
"100-1-15230","Band","Japanese Festival","Hilliard","","Carl Fischer, Inc.","1",""
"100-1-15231","Band","In The Bleak Midwinter","Holst","Bullock","Belwin, Inc","1",""
"100-1-15233","Band","Shalom Chaverim","Johnson","","Curnow Music","1",""
"100-1-15237","Band","Wildwind Overture","Kinyon","","Alfred Music Company, Inc.","1",""
"100-1-15239","Band","Fanfare, Ode and Festival","Margolis","","Manhattan Beach Music","1","(play two mvts)"
"100-1-15240","Band","Prelude and March","Margolis","","Manhattan Beach Music","1",""
"100-1-15242","Band","The Stars Asleep, The Break of Day","Margolis","","Manhattan Beach Music","1",""
"100-1-15244","Band","All The Pretty Little Horses","McGinty","","Queenwood Publications","1",""
"100-1-15245","Band","Atlantis","McGinty","","Hal Leonard Music, Inc.","1",""
"100-1-15246","Band","Chorale and Variation","Bach","McGinty","Queenwood Publications","1",""
"100-1-15247","Band","Folk Trilogy","Bartok","McGinty","Queenwood Publications","1",""
"100-1-15248","Band","Chorale Prelude","McGinty","","Queenwood Publications","1",""
"100-1-15250","Band","Madrigal for Band","McGinty","","Queenwood Publications","1",""
"100-1-15251","Band","Three Gymnopedies","Satie","McGinty","Queenwood Publications","1","(play one mvt)"
"100-1-15252","Band","Sea Song Trilogy","McGinty","","Boosey & Hawkes, Inc.","1",""
"100-1-15253","Band","From an 18th Century Album","Myers","","TRN Music Publisher","1","(play mvts 1 & 3 or 2 & 3)"
"100-1-15254","Band","Spring Song","Nowak","","Boosey & Hawkes, Inc.","1",""
"100-1-15255","Band","Ballet of Spring (Ballet du printemps)","O'Connor","","RBC Publications","1",""
"100-1-15256","Band","Two English Dances","Anon. or Trad.","O'Reilly","Alfred Music Company, Inc.","1",""
"100-1-15257","Band","Connemara Sketches","Osborne","","William Allen Music, Inc.","1","(play two contrasting mvts)"
"100-1-15258","Band","The Piper and The Captain","Osborne","","Southern Music Company","1","(play two contrasting mvts)"
